Time_s,Speed_ms,Speed_kmh,Distance_m,TTC_s,Brake,Decel_ms2,AEB_Active,Vrel_ms,Ego_X_m,Ego_Y_m
9.248316287994385,8.434486389160156,30.364,60.45533752441406,,0.0,0.027418136596679688,False,,69.2481689453125,5.5500006675720215
9.273593664169312,8.43423080444336,30.363,60.13903045654297,,0.0,0.01277923583984375,False,,69.37468719482422,5.5500006675720215
9.298875570297241,8.433713912963867,30.361,60.13903045654297,,0.0,0.025844573974609375,False,,69.63613891601562,5.5500006675720215
9.324689388275146,8.433464050292969,30.36,60.13903045654297,,0.0,0.012493133544921875,False,,69.76264190673828,5.5500006675720215
9.349738121032715,8.432649612426758,30.358,59.659297943115234,,0.0,0.040721893310546875,False,-8.42842960357666,70.16742706298828,5.5500006675720215
9.375107288360596,8.432387351989746,30.357,59.26729965209961,,0.0,0.013113021850585938,False,-8.418457984924316,70.29391479492188,5.5500006675720215
9.400816917419434,8.43212604522705,30.356,59.26729965209961,,0.0,0.013065338134765625,False,-8.418457984924316,70.4288330078125,5.5500006675720215
9.426619291305542,8.431883811950684,30.355,59.26729965209961,,0.0,0.012111663818359375,False,-8.418457984924316,70.5637435913086,5.5500006675720215
9.451725482940674,8.431135177612305,30.352,59.018310546875,,0.0,0.03743171691894531,False,-8.416509628295898,70.96002197265625,5.5500006675720215
9.476743936538696,8.430868148803711,30.351,58.59161376953125,,0.0,0.0133514404296875,False,-8.408631324768066,71.09491729736328,5.5500006675720215
9.503125429153442,8.43039321899414,30.349,58.59161376953125,,0.0,0.023746490478515625,False,-8.408631324768066,71.34783935546875,5.5500006675720215
9.528939485549927,8.43014144897461,30.349,58.17652130126953,,0.0,0.0125885009765625,False,-8.408736228942871,71.48271942138672,5.5500006675720215
9.554028987884521,8.429390907287598,30.346,58.17652130126953,,0.0,0.03752708435058594,False,-8.408736228942871,71.87892150878906,5.5500006675720215
9.579243659973145,8.429143905639648,30.345,57.65081024169922,,0.0,0.012350082397460938,False,-8.417189598083496,72.00535583496094,5.5500006675720215
9.605313301086426,8.428894996643066,30.344,57.65081024169922,,0.0,0.012445449829101562,False,-8.417189598083496,72.14022064208984,5.5500006675720215
9.631145000457764,8.428658485412598,30.343,57.65081024169922,,0.0,0.0118255615234375,False,-8.417189598083496,72.27508544921875,5.5500006675720215
9.656617403030396,8.428167343139648,30.341,57.32292938232422,,0.0,0.024557113647460938,False,-8.422133445739746,72.67964172363281,5.5500006675720215
9.682172060012817,8.427654266357422,30.34,57.001808166503906,,0.0,0.025653839111328125,False,-8.41873836517334,72.81448364257812,5.5500006675720215
9.707417249679565,8.427145004272461,30.338,57.001808166503906,,0.0,0.025463104248046875,False,-8.41873836517334,73.07573699951172,5.5500006675720215
9.732935667037964,8.426886558532715,30.337,56.532684326171875,,0.0,0.012922286987304688,False,-8.421385765075684,73.21056365966797,5.5500006675720215
9.758733987808228,8.426654815673828,30.336,56.532684326171875,,0.0,0.011587142944335938,False,-8.421385765075684,73.33696746826172,5.5500006675720215
9.784607172012329,8.425895690917969,30.333,56.07754898071289,,0.0,0.03795623779296875,False,-8.434487342834473,73.7498550415039,5.5500006675720215
9.809642791748047,8.425633430480957,30.332,56.07754898071289,,0.0,0.013113021850585938,False,-8.434487342834473,73.8846664428711,5.5500006675720215
9.83492136001587,8.42540168762207,30.331,55.68653869628906,,0.0,0.011587142944335938,False,-8.425445556640625,74.01104736328125,5.5500006675720215
9.860586643218994,8.42517375946045,30.331,55.68653869628906,,0.0,0.011396408081054688,False,-8.425445556640625,74.1458511352539,5.5500006675720215
9.886270999908447,8.424453735351562,30.328,55.3465576171875,,0.0,0.03600120544433594,False,-8.423322677612305,74.55024719238281,5.5500006675720215
9.911537885665894,8.424217224121094,30.327,55.3465576171875,,0.0,0.0118255615234375,False,-8.423322677612305,74.6766128540039,5.5500006675720215
9.93758511543274,8.42375659942627,30.326,54.858848571777344,,0.0,0.023031234741210938,False,-8.407693862915039,74.93775177001953,5.5500006675720215
9.96306586265564,8.4235200881958,30.325,54.858848571777344,,0.0,0.0118255615234375,False,-8.407693862915039,75.0725326538086,5.5500006675720215
9.988929033279419,8.423293113708496,30.324,54.471641540527344,,0.0,0.011348724365234375,False,-8.409431457519531,75.45999908447266,5.5500006675720215
10.014015197753906,8.422571182250977,30.321,54.471641540527344,,0.0,0.03609657287597656,False,-8.409431457519531,75.60317993164062,5.5500006675720215
10.039764642715454,8.422335624694824,30.32,53.79978561401367,,0.0,0.011777877807617188,False,-8.415517807006836,75.72952270507812,5.5500006675720215
10.064825534820557,8.421862602233887,30.319,53.79978561401367,,0.0,0.023651123046875,False,-8.415517807006836,75.98218536376953,5.5500006675720215
10.09035611152649,8.42162799835205,30.318,53.52949142456055,,0.0,0.011730194091796875,False,-8.408166885375977,76.24325561523438,5.5500006675720215
10.115739107131958,8.421149253845215,30.316,53.52949142456055,,0.0,0.023937225341796875,False,-8.408166885375977,76.38641357421875,5.5500006675720215
10.141074180603027,8.420690536499023,30.314,53.14933776855469,,0.0,0.022935867309570312,False,-8.406774520874023,76.6474609375,5.5500006675720215
10.166496276855469,8.420472145080566,30.314,53.14933776855469,,0.0,0.010919570922851562,False,-8.406774520874023,76.77377319335938,5.5500006675720215
10.192203044891357,8.42025089263916,30.313,53.14933776855469,,0.0,0.0110626220703125,False,-8.406774520874023,77.16951751708984,5.5500006675720215
10.217710256576538,8.41960620880127,30.311,52.69264602661133,,0.0,0.03223419189453125,False,-8.399717330932617,77.30423736572266,5.5500006675720215
10.243048429489136,8.419378280639648,30.31,52.38158416748047,,0.0,0.011396408081054688,False,-8.40186882019043,77.4389419555664,5.5500006675720215
10.267980813980103,8.419168472290039,30.309,52.38158416748047,,0.0,0.01049041748046875,False,-8.40186882019043,77.56523132324219,5.5500006675720215
10.293352365493774,8.418745994567871,30.307,51.918949127197266,,0.0,0.021123886108398438,False,-8.393668174743652,77.83464050292969,5.5500006675720215
10.318581581115723,8.418303489685059,30.306,51.918949127197266,,0.0,0.022125244140625,False,-8.393668174743652,78.09561157226562,5.5500006675720215
10.344173192977905,8.417832374572754,30.304,51.50554656982422,,0.0,0.023555755615234375,False,-8.394333839416504,78.3734130859375,5.5500006675720215
10.369737386703491,8.417608261108398,30.303,51.50554656982422,,0.0,0.011205673217773438,False,-8.394333839416504,78.50809478759766,5.5500006675720215
10.395416021347046,8.41740608215332,30.303,51.03342819213867,,0.0,0.01010894775390625,False,-8.411048889160156,78.63435363769531,5.5500006675720215
10.421262979507446,8.417197227478027,30.302,51.03342819213867,,0.0,0.010442733764648438,False,-8.411048889160156,79.02996063232422,5.5500006675720215
10.446313381195068,8.416532516479492,30.3,50.85856246948242,,0.0,0.03323554992675781,False,-8.408477783203125,79.17304229736328,5.5500006675720215
10.472485065460205,8.416327476501465,30.299,50.85856246948242,,0.0,0.010251998901367188,False,-8.408477783203125,79.2908706665039,5.5500006675720215
10.498196363449097,8.415874481201172,30.297,50.14983367919922,,0.0,0.022649765014648438,False,-8.388782501220703,79.56018829345703,5.5500006675720215
10.523476600646973,8.415651321411133,30.296,50.14983367919922,,0.0,0.011157989501953125,False,-8.388782501220703,79.8294906616211,5.5500006675720215
10.548686027526855,8.415210723876953,30.295,49.552772521972656,,0.0,0.022029876708984375,False,-8.397782325744629,79.95571899414062,5.5500006675720215
10.575061798095703,8.414788246154785,30.293,49.552772521972656,,0.0,0.021123886108398438,False,-8.397782325744629,80.20816802978516,5.5500006675720215
10.600249290466309,8.414579391479492,30.292,49.470245361328125,,0.0,0.010442733764648438,False,-8.384011268615723,80.33438873291016,5.5500006675720215
10.625929117202759,8.414362907409668,30.292,49.470245361328125,,0.0,0.010824203491210938,False,-8.392690658569336,80.7298583984375,5.5500006675720215
10.651536703109741,8.413732528686523,30.289,49.00318145751953,,0.0,0.03151893615722656,False,-8.392690658569336,80.8644790649414,5.5500006675720215
10.676793813705444,8.413496971130371,30.289,49.00318145751953,,0.0,0.011777877807617188,False,-8.392690658569336,81.00750732421875,5.5500006675720215
10.701599836349487,8.413294792175293,30.288,49.00318145751953,,0.0,0.01010894775390625,False,-8.392690658569336,81.13371276855469,5.5500006675720215
10.727113962173462,8.412904739379883,30.286,48.65724182128906,,0.0,0.019502639770507812,False,-8.386942863464355,81.39451599121094,5.5500006675720215
10.752755641937256,8.412487983703613,30.285,48.11643600463867,,0.0,0.020837783813476562,False,-8.381791114807129,81.66372680664062,5.5500006675720215
